t_seconds,total,negative_area,gain
14250.0,8.54272268497599e-5,0.0,0.0
14400.0,7.521213503121289e-5,0.0,0.0
14550.0,5.2684300502049445e-5,0.0,0.0
14700.0,5.255069316539776e-5,0.0,0.0
14850.0,5.508064900682644e-5,0.0,0.0
15000.0,6.057987899550744e-5,0.0,0.0
15150.0,8.639287947059682e-5,0.0,0.0
15300.0,0.00013118304116932836,0.0,0.0
15450.0,7.277481308622657e-5,0.0,0.0
15600.0,6.036954978778938e-5,0.0,0.0
15750.0,7.097360558056098e-5,0.0,0.0
15900.0,8.03006614378363e-5,0.0,0.0
16050.0,8.203379643246675e-5,0.0,0.0
16200.0,7.782190888706736e-5,0.0,0.0
16350.0,6.867551592020051e-5,0.0,0.0
16500.0,6.881650049866118e-5,0.0,0.0
16650.0,7.773163734463405e-5,0.0,0.0
16800.0,9.50780701861273e-5,0.0,0.0
16950.0,8.468861873537419e-5,0.0,0.0
17100.0,6.96985328558402e-5,0.0,0.0
17250.0,6.983461807104918e-5,0.0,0.0
17400.0,7.109720386239742e-5,0.0,0.0
17550.0,8.075841941214709e-5,0.0,0.0
17700.0,0.00010038300088943171,0.0,0.0
17850.0,8.256356372509299e-5,0.0,0.0
18000.0,7.264902625306678e-5,0.0,0.0
18150.0,6.7963380409025e-5,0.0,0.0
18300.0,7.27938639784428e-5,0.0,0.0
18450.0,0.0001026650768585411,0.0,0.0
18600.0,7.918263772490038e-5,0.0,0.0
18750.0,7.998611188186924e-5,0.0,0.0
18900.0,7.494070110047063e-5,0.0,0.0
19050.0,6.696537291391557e-5,0.0,0.0
19200.0,6.715297312680274e-5,0.0,0.0
19350.0,6.893732559109092e-5,0.0,0.0
19500.0,0.00014554381789536088,0.0,0.0
19650.0,7.054431755582366e-5,0.0,0.0
19800.0,6.155684189055772e-5,0.0,0.0
19950.0,6.399783620749411e-5,0.0,0.0
20100.0,7.838601550761179e-5,0.0,0.0
20250.0,0.00012195725908211656,0.0,0.0
20400.0,6.32927494512812e-5,0.0,0.0
20550.0,5.890384181635758e-5,0.0,0.0
20700.0,5.83598770908606e-5,0.0,0.0
20850.0,6.1021179154824606e-5,0.0,0.0
21000.0,7.636689257956674e-5,0.0,0.0
21150.0,0.00011511890041989121,0.0,0.0
21300.0,7.742720284072751e-5,0.0,0.0
21450.0,7.912536754690129e-5,0.0,0.0
21600.0,0.00010740520962299434,0.0,0.0
