run_dir,output_indices,config_file,commit,dirty,date,slurm_job,purpose,finding_ids,small_tables_in_repo,netcdf_on_scratch,in_archive,status
a3_0m_vert_diff,0000,configs/a3_0m_vert_diff.yml,af9cee7d5c4f0313653cf670e0877301ece2c62d,yes,2026-09-10,27369130,"A3's companion, 0M with vert_diff on, dt 10s, isolates the vertical-diffusion vs 1M contributions.","W5, W5b",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a3_1m,0000,configs/a3_1m.yml,49b2ec9737f227de7d7fb03ed33c061157e9e773,yes,2026-09-10,27361330,"A3, microphysics_model:1M, dt 10s.",W5,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a4_float32,0000,configs/a4_float32.yml,49b2ec9737f227de7d7fb03ed33c061157e9e773,yes,2026-09-10,27361268,"A4, FLOAT_TYPE:Float32, dt 10s.",W4,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a5_sphere_limiter,0000,configs/a5_sphere_limiter.yml,8ed98b63f27fae0bb9960ba2017ce53623a10f49,yes,2026-09-10,27367905,"A5, sphere with the SEM limiter, dt 300s, one day; the water-tag divergence (issue #64) and its fix.","W6, W7, W8, W9, W10, W11, W12, W13, W14, M1",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
a7_gap_cancellation,0000,"n/a (analysis-script output, no run config)",,,,,"Analysis output (login node) of analysis/c5_process_closure.jl's gap_cancellation.csv over 8 existing runs, for A7/E49.",E49,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
b1_base,0000,configs/b1_base.yml,38661891fac34b2a6b05470bc82199c5af9be0ec,unknown,2026-09-18,13501290,"B1, hyperdiffusion and vertical diffusion both on; 10-day moist baroclinic wave energy-tag family run.",E50,yes,"yes (3 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (3 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c0_column,0000,configs/c0_column.yml,49b2ec9737f227de7d7fb03ed33c061157e9e773,yes,2026-09-10,27361326,"C0, DYCOMS source column with rad:DYCOMS, one day; the barrier census.","E1, E2, E3, E4, E5, E6, R2",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
c0_column_notags,0000,configs/c0_column_notags.yml,c7c00de9e395eaf1db9c044b19f6c45b3e47d9ea,yes,2026-09-10,27368036,C0's column with no source tags; the cost baseline.,"T3, T4",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
c0_sphere,0000,configs/c0_sphere.yml,49b2ec9737f227de7d7fb03ed33c061157e9e773,yes,2026-09-10,27361327,"C0, moist sphere, one day; the barrier census.","E1, E5, E6, M5",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
c0_sphere_audit,0000,configs/c0_sphere_audit.yml,bcbe190f844c59374a16290e1bb05af6bf5bca5a,yes,2026-09-10,27369268,c0_sphere with audit:true and nothing else changed; the mass-fraction / audit-table baseline reused as C1/C4's baseline.,"E9b, E9c, M1, M6",yes,"yes (4 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (4 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c0_sphere_deep,0000,configs/c0_sphere_deep.yml,ce76919465ee8c8df1cf1dc27040cbbd131859f4,unknown,2026-09-10,27369030,C0's depth control: the same sphere on the 60km grid; dropped as redundant with where_negative.jl / c0_sphere_audit.,(none; superseded before use),yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",failed (exit_status 1)
c10_sphere_enthalpy_repair,0000,configs/c10_sphere_enthalpy_repair.yml,7dc0a302ad83799c2edd978b7dd57299c279a266,unknown,2026-09-11,13403083,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (19 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (19 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1_sphere_shift,0000,configs/c1_sphere_shift.yml,72a1bc6aa1fe161387062d3193ae2085fba0330a,unknown,2026-09-10,13383684,"C1, c0_sphere_audit under the reference shift, delta=-110K.","E11, E12, E13, E14, E15, E16, R7, R8, T6",yes,"yes (4 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (4 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1c_base_d4_enthalpy,0000,configs/c1c_base_d4_enthalpy.yml,50b2a4d225055a224168e1da85294e7479c68a5d,unknown,2026-09-18,13504651,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1c_opt1_d4_enthalpy,0000,configs/c1c_opt1_d4_enthalpy.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18,13504652,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1c_opt1_newton_d4_enthalpy,0000,configs/c1c_opt1_newton_d4_enthalpy.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18,13504771,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1c_opt2_d4_enthalpy,0000,configs/c1c_opt2_d4_enthalpy.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18,13504653,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c1c_opt3_d4_enthalpy,0000,configs/c1c_opt3_d4_enthalpy.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-18,13504654,(purpose not separately recorded; see FINDINGS/LEARNINGS for context),(inferred),yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c3_column_record,0000,configs/c3_column_record.yml,1a9a419e78225225f9fb0aff8aa54b16c1d8a7af,yes,2026-09-10,27367733,"C3, c0_column with energy_process_record beside the tags.","E7, E8, E9",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]",live
c4_sphere_tag_offset,0000,configs/c4_sphere_tag_offset.yml,29430612267fc3742bfe217bf65ab5f060a7d34d,unknown,2026-09-10,13384913,"C4, c0_sphere_audit with the tags on rho*e_tot + c*rho, c=110,495 J/kg.","E17, E18, T7",yes,"yes (5 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (5 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c4_sphere_tag_offset_2x,0000,configs/c4_sphere_tag_offset_2x.yml,29430612267fc3742bfe217bf65ab5f060a7d34d,unknown,2026-09-10,13384914,"C4 at twice the offset, on the identical atmosphere.","E17, E19, T7",yes,"yes (5 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (5 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c5_column_offset,0000,configs/c5_column_offset.yml,bca389bac1034d31070d2e7d4612dfbe68ab3008,unknown,2026-09-10,13385401,"C5, C3's column with the offset, per-process tags, two records and rhoa.","E20, E21, E22, E23",yes,"yes (10 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (10 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c5_sphere_gray,0000,configs/c5_sphere_gray.yml,bca389bac1034d31070d2e7d4612dfbe68ab3008,unknown,2026-09-10,13385402,"C5, C4's sphere with rad:gray, per-process tags and two records.","E20, E21, E24",yes,"yes (9 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (9 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_column_no_repair,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_column_no_repair.yml,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10,13385451,c6_column_repair with the repair off.,"E25, E26",yes,"yes (29 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (29 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_column_repair,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_column_repair.yml,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10,13385450,"C6, C5's column on the bracket and the repair.","E26, E29, T8",yes,"yes (29 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (29 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_sphere_first_order,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_sphere_first_order.yml,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10,13385454,c6_sphere_no_repair with the tags moved by first-order upwinding.,E29,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_sphere_no_repair,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_sphere_no_repair.yml,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10,13385453,c6_sphere_repair with the repair off.,"E28, E29, E46",yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_sphere_repair,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_sphere_repair.yml,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec,unknown,2026-09-10,13385452,"C6, C5's sphere on the bracket and the repair.","E27, E46, T8",yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c6_sphere_wide_mask,"0000 (failed startup, missing e_src_fix function) + 0001 (resubmitted on f3bbdb7b, the one analysed)",configs/c6_sphere_wide_mask.yml,f399b9f89bf212319e1da3eeaf4c693dd22bc30c,unknown,2026-09-14,13441633,The C6 twin with the region masks 10 degrees wide instead of 2.,E48,yes,"yes (17 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (17 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c7_sphere_mp,0000,configs/c7_sphere_mp.yml,414f5f1b0b621d0d09b58e641c5620bb867bdbfd,unknown,2026-09-11,13399601,"C7, c6_sphere_no_repair with an mp tag on source:microphysics.","E30, E31, E45, E47, T9",yes,"yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c8_column_1m,0000,configs/c8_column_1m.yml,c11d1d3b9b77b7ec3fe405fa15b9ed2ea0921355,unknown,2026-09-11,13401744,"C8, c6_column_repair under 1-moment microphysics, with sedimentation moving the tags, a day.","E33, E43",yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c9_column_enthalpy,0000,configs/c9_column_enthalpy.yml,0bfb503722448c33f784ab5292d756c590610db3,unknown,2026-09-11,13402392,"C9, c6_column_no_repair with the tags moved as enthalpy.","E34, E39",yes,"yes (21 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (21 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
c9_sphere_enthalpy,0000,configs/c9_sphere_enthalpy.yml,0bfb503722448c33f784ab5292d756c590610db3,unknown,2026-09-11,13402393,"C9, c7_sphere_mp with the tags moved as enthalpy.","E34, E36, E38, E39b",yes,"yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
climacore_nameset_repro,0000,"n/a (analysis-script output, no run config)",,,,,ClimaCore-only reproducer for FieldMatrixWithSolver's compile-time scaling (CLIMACORE_ISSUE_DRAFT.md).,E44d,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
d1_column_1m_ice,0000,configs/d1_column_1m_ice.yml,78586e39b61b8df6d436c6c9cd65969b9f15cefa,unknown,2026-09-11,13404535,"D1, PrecipitatingColumn under 1M: ice through sedimentation's upward branch, an hour.",E42,yes,"yes (18 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (18 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d1_column_1m_ice_no_vdiff,0000,configs/d1_column_1m_ice_no_vdiff.yml,cf1e9c7c516528fdcc8126687ac15823170e1d70,unknown,2026-09-11,13412243,"D1 with vertical diffusion off, to separate the upward branch from diffusion.",E42b,yes,"yes (18 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (18 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d4_column_edmf,"0000 (placeholder, no data) + 0001 (the analysed run)",configs/d4_column_edmf.yml,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18,13503558,"D4, DYCOMS RF02 EDMF column with C1b's sharing, tags on tracer transport, a day.",E53,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d4_column_edmf_enthalpy,"0000 (placeholder, no data) + 0001 (the analysed run)",configs/d4_column_edmf_enthalpy.yml,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18,13503559,d4_column_edmf with the tags moved as enthalpy.,E53,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d4_column_edmf_notags,0000,configs/d4_column_edmf_notags.yml,41adabc5e5e637b148383ca5f9c11e6a34fc6b74,unknown,2026-09-11,13414334,"D4's column with no tags, for an hour; the EDMF-build-time control.",E44,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live
d4_column_edmf_vd,0000,configs/d4_column_edmf_vd.yml,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18,13503560,"d4_column_edmf with the updrafts' vertical diffusion on (shipped setting), under C1b's guard.",E53,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d4_column_edmf_vd_float32,0000,configs/d4_column_edmf_vd_float32.yml,9dd30a903809638514529509d624c89a84ff53af,unknown,2026-09-18,13503987,d4_column_edmf_vd in Float32; C1b's sharing at production precision.,E55,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
d5_column_edmf_ice,0000,configs/d5_column_edmf_ice.yml,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18,13503561,"D5, TRMM LBA EDMF deep convection under 1M, 6h.",E53,yes,"yes (21 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (21 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
displacement_check,0000,"n/a (analysis-script output, no run config)",,,,,"Login-node analysis of how mislabelled energy is flushed/mixed over long runs (E60), reading existing runs' NetCDF.",E60,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
formA_mechanism,0000,"n/a (analysis-script output, no run config)",,,,,Analysis scripts (formA_mechanism.jl / formA_followup.jl / formA_last.jl) tracing why the audit's form-A gap arises on C7/C9/C10.,"E35, E36, E38",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
g1_base_d4_float32,0000,configs/g1_base_d4_float32.yml,50b2a4d225055a224168e1da85294e7479c68a5d,unknown,2026-09-19,13504828,c1c_base_d4_enthalpy in Float32; the baseline of G1's Float32 twin.,E65,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_inc_d4,0000,configs/g1_inc_d4.yml,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19,13504889,"The increment prototype on D4 with its ledger written hourly, a day.",E64,yes,"yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_inc_d4_2c,0000,configs/g1_inc_d4_2c.yml,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19,13509167,"g1_inc_d4 with c=220,990 J/kg (2x offset), identical atmosphere.",E71,yes,"yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_inc_d4_float32,0000,configs/g1_inc_d4_float32.yml,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19,13504891,"The prototype in Float32, G1's Float32 twin.",E65,yes,"yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_inc_newton10_d4,0000,configs/g1_inc_newton10_d4.yml,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19,13504927,"The prototype with the reference's fixed ten Newton iterations, a day.",E66,yes,"yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_inc_newton_d4,0000,configs/g1_inc_newton_d4.yml,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19,13504890,"The prototype with the reference's converged Newton solve, a day.",E64,yes,"yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (26 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_ref_newton10_d4,0000,configs/g1_ref_newton10_d4.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-19,13504926,"G1's per-flux reference (option 1, converged solve) with ten Newton iterations fixed, a day.",E66,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g1_ref_newton_d4,0000,configs/g1_ref_newton_d4.yml,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-19,13504827,"G1's reference for the tags' correctness: option 1 with a converged Newton solve, a day.",E61,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_diag_newton2,0000,configs/g2_v2_diag_newton2.yml,,,,,"2-hour diagnostic slice of V2 with two Newton iterations, one process, in Float32.",E70,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_diag_nosponge,0000,configs/g2_v2_diag_nosponge.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13505762,"3-hour V2 diagnostic variant with sponges off, to test the model-top collapse cause.",E69,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_diag_notopo,0000,configs/g2_v2_diag_notopo.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13505764,"3-hour V2 diagnostic variant with no mountain, to test the model-top collapse cause.",E69,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_f64_2h,0000,configs/g2_v2_f64_2h.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13509165,"g2_v2_diag_newton2's 2 hours rerun in Float64, to split rounding from structure.",E70,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_nosponge_2h,0000,configs/g2_v2_nosponge_2h.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13509166,The same 2 hours in Float32 without sponges.,E70,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_sphere,0000,configs/g2_v2_sphere.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13504999,"V2: the production physics on a sphere under the prototype, Float32, ten days, one Newton iteration (model-top collapse found).","E69, E72",yes,"yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_sphere_mix,0000,configs/g2_v2_sphere_mix.yml,846ef55d0aea31856403db4d0add994c45208500,unknown,2026-09-21,13548198,"V2's ten days again from the branch that mixes provenance through the updrafts (E73's default), two Newton iterations.",E75,yes,"yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_sphere_mix_oom_13538434,0001 (per runs_inventory.csv; ladder rung on scratch),configs/g2_v2_sphere_mix_oom_13538434.yml,846ef55d0aea31856403db4d0add994c45208500,unknown,2026-09-21,13538434,"First attempt at g2_v2_sphere_mix, killed for memory (asked 200GB, needed ~500GB); superseded by job 13548198.",(supersedes into E75's run),"no (scratch-only, in runs_inventory.csv)","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",oom
g2_v2_sphere_n2,0000,configs/g2_v2_sphere_n2.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13505896,"V2 again with two Newton iterations, after one iteration collapsed the model top; ten days.",E74,yes,"yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 10 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_sphere_newton10,0000,configs/g2_v2_sphere_newton10.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13505000,"V2's twin with ten fixed Newton iterations, first day, for per-tag correctness.",E74,yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
g2_v2_sphere_test,0000,configs/g2_v2_sphere_test.yml,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19,13504957,"V2's feasibility run: production physics on a sphere under the prototype, Float32, two hours.","(feasibility check, referenced in OPERATIONAL_TODO G1 'On the way to G2')",yes,"yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (16 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
inc_c9_check,0000,"n/a (analysis-script output, no run config)",,,,,A reviewer's login-node recomputation/check of C9's first-hour residual (result.txt).,E39,yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
inc_d4_enthalpy_increment,0000,configs/inc_d4_enthalpy_increment.yml,35042f33d710a122e5a47d748d0c7de26bcb6401,unknown,2026-09-19,13504818,The increment prototype: D4 under enthalpy_increment.,E62,yes,"yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (24 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
mp1_sphere_4ranks,0000,configs/mp1_sphere_4ranks.yml,c2842ba6720ab02d2c0bd2efbe00ed9cf997b02f,unknown,2026-09-14,13440991,"MP1, c7_sphere_mp on 4 MPI ranks.",E47,yes,"yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]","yes (12 nc, 0 hdf5) [checked 2026-09-23, links not followed]",live
newton_lag,0000,"n/a (analysis-script output, no run config)",,,,,"Analysis-script outputs (first_hour_sphere.jl, c8_variants.jl) isolating the Newton-lag mechanism on C9's column/sphere and C8.","E39, E39b, E43",yes,"no [checked 2026-09-23, links not followed]","no [checked 2026-09-23, links not followed]","live (analysis-script output, not a model run)"
p1_sphere_notags,0000,configs/p1_sphere_notags.yml,c2842ba6720ab02d2c0bd2efbe00ed9cf997b02f,unknown,2026-09-14,13440990,"P1, c7_sphere_mp without tags, records, check or diagnostics; the untagged half of the cost pair.",T9,yes,"dir only, no nc/hdf5 [checked 2026-09-23, links not followed]","dir only, no nc/hdf5 [checked 2026-09-23, links not followed]",live
